i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
N20110901-C,三层萌狐收纳架侧板,N20110901-CS10,三层萌狐收纳架侧板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110902-C,四层萌狐收纳架侧板,N20110902-CS10,四层萌狐收纳架侧板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110903-C,三层萌兔收纳架侧板,N20110903-CS06,三层萌兔收纳架侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110904-C,四层萌兔收纳架侧板,N20110904-CS06,四层萌兔收纳架侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110905-C,四层奶牛收纳架侧板,N20110905-CS06,四层奶牛收纳架侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110906-C,北极熊收纳架侧板,N20110906-CS03,北极熊收纳架侧板,雀羽蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20110907-C,三层奶牛收纳架侧板,N20110907-CS06,三层奶牛收纳架侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111301-C,三合一画板侧板,N20111301-CS06,三合一画板侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111401-C,睡睡熊滑梯侧板,N20111401-CS12,睡睡熊滑梯侧板,檀木褐,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111701-C01,海星棒球杆,N20111701-C01S10,海星棒球杆,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111701-C02,海星篮球架底座,N20111701-C02S10,海星篮球架底座,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111702-C,3号篮球杆上杆,N20111702-CS13,3号篮球杆上杆,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20111703-C,3号篮球杆下杆,N20111703-CS13,3号篮球杆下杆,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N201204-C,大火箭滑梯侧板,N201204-CS06,大火箭滑梯侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
